year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2012,6,B6,JetBlue Airways,AUS,Austin  TX: Austin - Bergstrom International,210.00,52.00,16.36,2.53,9.97,0.28,22.86,3.00,0.00,3590.00,999.00,219.00,394.00,25.00,1953.00
2012,6,DL,Delta Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,224.00,29.00,11.86,0.98,9.83,0.00,6.33,1.00,0.00,995.00,436.00,60.00,256.00,0.00,243.00
2012,6,EV,ExpressJet Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,41.00,9.00,5.80,0.00,1.00,0.00,2.20,0.00,0.00,475.00,276.00,0.00,15.00,0.00,184.00
2012,6,F9,Frontier Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,47.00,10.00,4.01,0.00,1.67,0.00,4.32,0.00,0.00,367.00,125.00,0.00,46.00,0.00,196.00
2012,6,FL,AirTran Airways Corporation,AUS,Austin  TX: Austin - Bergstrom International,17.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,122.00,122.00,0.00,0.00,0.00,0.00
2012,6,OO,SkyWest Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,393.00,94.00,35.19,0.19,22.35,0.00,36.27,3.00,0.00,4554.00,1514.00,14.00,898.00,0.00,2128.00
2012,6,UA,United Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,296.00,76.00,20.37,1.64,24.76,0.00,29.22,1.00,0.00,4563.00,876.00,121.00,1168.00,0.00,2398.00
2012,6,WN,Southwest Airlines Co.,AUS,Austin  TX: Austin - Bergstrom International,1570.00,301.00,109.64,4.95,36.01,0.00,150.40,4.00,1.00,13670.00,5136.00,217.00,1025.00,0.00,7292.00
2012,6,YV,Mesa Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,255.00,37.00,30.59,1.00,1.00,0.00,4.41,0.00,0.00,1984.00,1652.00,51.00,17.00,0.00,264.00
2012,7,AA,American Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,639.00,175.00,66.55,14.17,42.25,0.00,52.03,13.00,2.00,11519.00,3171.00,1966.00,2732.00,0.00,3650.00
2012,7,AS,Alaska Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,31.00,4.00,1.17,0.67,2.16,0.00,0.00,0.00,0.00,145.00,43.00,39.00,63.00,0.00,0.00
2012,7,B6,JetBlue Airways,AUS,Austin  TX: Austin - Bergstrom International,217.00,49.00,18.87,0.03,15.37,0.00,14.73,4.00,0.00,3370.00,1512.00,5.00,500.00,0.00,1353.00
