"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-23","6.93"," 1700"," 1659","0.00","0.0","0.0",,"74","39","  140","  140","0.0","21.0","23.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-24","7.61"," 1209"," 1448","0.05","0.0","0.0",,"65","55","  140","  140","0.0","17.0","21.0","    1",,,,"    1",,"    1","    1",,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-25","11.41"," 1126"," 1125","0.39","0.0","0.0",,"68","50","  310","  310","0.0","23.9","31.1","    1",,"    1",,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-26","4.47"," 1909"," 1901","0.00","0.0","0.0",,"72","46","  150","  150","0.0","16.1","21.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-27","7.38"," 2206"," 2206","0.00","0.0","0.0",,"79","55","  320","  320","0.0","21.0","28.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-28","11.41"," 1259"," 1259","0.00","0.0","0.0",,"69","53","  310","  310","0.0","28.0","34.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-29","3.58"," 1129",,"0.00","0.0","0.0",,"74","45","  190",,"0.0","6.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-30","7.83"," 1657"," 1511","0.00","0.0","0.0",,"78","46","  160","  160","0.0","19.9","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-31","10.51"," 1720"," 1644","0.00","0.0","0.0",,"80","56","  150","  140","0.0","21.0","25.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-01","15.21"," 2313"," 2313","0.00","0.0","0.0",,"78","62","  150","  150","0.0","25.1","31.1","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-02","12.08"," 1013"," 1031","0.00","0.0","0.0",,"78","67","  140","  140","0.0","25.1","29.1","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-03","6.71"," 2322"," 1559","0.00","0.0","0.0",,"86","59","  150","  140","0.0","17.0","25.1","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-04","12.30"," 1441"," 1440","0.01","0.0","0.0",,"83","68","  150","  140","0.0","23.9","30.0","    1",,,,,,,"    1",,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-05","12.53"," 1330"," 1330","0.00","0.0","0.0",,"82","68","  140","  150","0.0","21.9","25.9","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-06","14.99"," 1254"," 1254","0.00","0.0","0.0",,"81","68","  150","  150","0.0","25.9","31.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-07","9.84"," 2349"," 2352","0.02","0.0","0.0",,"81","61","  330","  340","0.0","23.0","28.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-08","10.74"," 0914"," 0813","0.00","0.0","0.0",,"72","48","  350","  340","0.0","23.0","32.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-09","6.71"," 1807"," 1809","0.00","0.0","0.0",,"73","41","  140","  140","0.0","17.9","21.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-10","8.05"," 1722"," 1721","0.02","0.0","0.0",,"73","50","  150","  150","0.0","19.9","23.0",,,,,"    1",,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-11","5.82"," 1610"," 1517","0.00","0.0","0.0",,"80","51","  140","  150","0.0","16.1","25.9","    1",,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-12","9.17"," 1732"," 1155","0.00","0.0","0.0",,"80","53","  150","  120","0.0","21.9","30.0","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-13","10.96"," 1230"," 1600","0.00","0.0","0.0",,"80","54","  150","  130","0.0","25.1","31.1","    1",,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-14","10.51"," 1621"," 1550","0.00","0.0","0.0",,"80","57","  140","  140","0.0","21.9","29.1","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-15","12.97"," 1627"," 1645","0.04","0.0","0.0",,"81","65","  130","  120","0.0","25.9","31.1","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-16","10.96"," 1555"," 1554","0.00","0.0","0.0",,"80","63","  150","  150","0.0","21.9","25.1","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-17","6.71"," 1305"," 1424","0.00","0.0","0.0",,"81","62","  150","  140","0.0","17.0","23.0","    1",,,,"    1",,"    1","    1",,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-18","5.14"," 1405"," 1439","2.47","0.0","0.0",,"76","62","  160","  150","0.0","15.0","17.0","    1",,"    1",,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-19","6.49"," 0927"," 0926","0.16","0.0","0.0",,"65","58","   20","   20","0.0","12.1","14.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-20","4.47"," 1635"," 1635","0.00","0.0","0.0",,"77","59","   10","   10","0.0","12.1","14.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-21","5.59"," 1606"," 1605","0.00","0.0","0.0",,"80","56","  130","  130","0.0","16.1","21.9","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-22","10.74"," 1318"," 1316","0.00","0.0","0.0",,"79","58","  150","  140","0.0","21.9","29.1","    1",,,,,,"    1","    1",,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-23","11.63"," 1656"," 1656","0.02","0.0","0.0",,"85","72","  140","  140","0.0","21.0","23.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-24","8.05"," 0516"," 0500","0.02","0.0","0.0",,"84","65","  310","  320","0.0","23.9","33.1","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-25","9.62"," 1442"," 1439","0.00","0.0","0.0",,"82","60","  310","  320","0.0","25.9","33.1",,,,,,,,,,,,,,,,,
