"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT18","WT22"
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-07","15.21"," 1739"," 1923","0.01","0.0","0.0",,"74","51","  320","  320","0.0","31.1","42.9","    1",,"    1",,,,,,,,,,,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-08","7.16"," 2355"," 2354","0.00","0.0","0.0",,"68","44","  350","  360","0.0","23.0","32.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-09","8.50"," 1735"," 1807","0.00","0.0","0.0",,"76","45","  160","  170","0.0","19.9","23.0",,,,,,,,"    1",,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-10","13.87"," 2245"," 1746","0.00","0.0","0.0",,"76","53","  160","  150","0.0","21.9","28.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-11","7.61"," 0219"," 0107","0.00","0.0","0.0",,"74","60","  170","  170","0.0","17.9","23.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-12","7.38"," 1246"," 1340","0.00","0.0","0.0",,"81","60","  160","  150","0.0","19.9","25.1",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-13","12.97"," 1241"," 1455","0.00","0.0","0.0",,"82","58","  140","  120","0.0","25.9","33.1",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-14","11.18"," 1134"," 1151","0.00","0.0","0.0",,"82","61","  140","  140","0.0","19.9","25.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-15","11.63"," 1528"," 1631","0.00","0.0","0.0",,"80","63","  140","  130","0.0","21.9","28.0",,,,,"    1",,,,,,,,,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-16","9.62"," 0944"," 0434","0.00","0.0","0.0",,"78","64","  130","  170","0.0","16.1","19.9",,,,,,,,,,,,,,,,,
