STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/20/2010,15.88,1531,2148,0.69,0,0,,63,39,330,340,,25.9,38,1,,1,1,1,,,,,,,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/21/2010,10.51,1508,1347,0,0,0,,61,33,320,320,,25.9,38.9,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/22/2010,4.25,1417,1652,0,0,0,,72,30,210,160,,13,16.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/23/2010,9.62,1430,1429,0,0,0,,76,36,160,150,,21.9,28,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/24/2010,5.82,2014,2012,0.69,0,0,,67,58,290,260,,17.9,25.1,1,,1,,1,,,,,,1,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/25/2010,7.61,831,1141,0,0,0,,68,45,320,310,,19.9,29.1,,,1,,,,,,,,,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/26/2010,6.93,2140,2303,0,0,0,,72,38,170,170,,19.9,25.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/27/2010,8.95,2010,1407,0,0,0,,81,49,330,310,,17.9,25.9,1,,,,,,,,,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/28/2010,8.72,1656,1656,0,0,0,,71,41,350,350,,25.1,31.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/29/2010,3.8,1556,1507,0,0,0,,74,35,180,150,,14.1,19.9,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/30/2010,12.3,1533,1451,0,0,0,,79,41,170,170,,23,30,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/31/2010,13.42,850,903,0,0,0,,82,54,180,200,,21.9,28,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/1/2010,16.55,1452,1623,0,0,0,,78,62,150,150,,25.1,34.9,,,,,,,,,,,,1,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/2/2010,9.62,709,714,0,0,0,,80,58,170,170,,21.9,30,1,,,,,,,,,,1,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/3/2010,4.7,2358,2357,0,0,0,,84,39,170,180,,17,23.9,1,,,,,,,,,,,,,,,,1,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/4/2010,10.96,1604,1308,0.02,0,0,,82,67,150,170,,23,30,1,,,,,,,,,,1,1,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/5/2010,13.42,1709,1703,0,0,0,,83,68,150,150,,23,29.1,1,,,,,,,,,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/6/2010,14.54,954,950,0,0,0,,81,68,180,180,,25.1,33.1,1,,,,,,1,1,,,1,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/7/2010,8.05,2144,2144,0.01,0,0,,76,56,360,360,,25.1,32,1,,,,1,,,1,,,1,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/8/2010,9.17,933,928,0,0,0,,72,40,10,20,,23,31.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/9/2010,5.82,1227,1609,0,0,0,,74,35,180,180,,15,17.9,1,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/10/2010,8.5,1727,1450,0,0,0,,79,46,150,150,,19.9,23.9,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/11/2010,4.03,18,28,0,0,0,,70,60,160,150,,13,15,1,,,,,,,,,,1,1,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/12/2010,5.59,1747,1644,0,0,0,,79,52,120,150,,15,21,1,1,,,,,,,1,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/13/2010,7.61,1906,1901,0,0,0,,81,48,140,130,,21,25.1,1,,,,,,,,,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/14/2010,7.38,1426,1528,0,0,0,,78,60,130,110,,19.9,23.9,1,,,,,,,,,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/15/2010,9.62,1324,1321,0.83,0,0,,76,66,140,130,,23.9,31.1,1,,,,1,,,1,,,1,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/16/2010,6.71,1627,1209,0.1,0,0,,73,65,150,120,,16.1,21.9,1,,,,1,,,1,,,1,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/17/2010,7.61,1052,1051,0.46,0,0,,77,61,130,130,,17.9,23.9,1,,1,,1,,,,,,,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/18/2010,7.83,2346,2353,0,0,0,,71,60,340,350,,17,21.9,,,,,,,,,,,,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/19/2010,9.62,155,235,0,0,0,,64,57,360,350,,17,21,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/20/2010,3.58,826,809,0,0,0,,76,54,10,10,,12.1,14.1,1,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/21/2010,6.93,1017,1054,0,0,0,,80,49,180,200,,17.9,23,1,,,,,,,,,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/22/2010,11.41,1348,1413,0.02,0,0,,75,63,150,150,,21,25.9,1,,,,1,,,1,,,1,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/23/2010,7.83,2358,2356,0,0,0,,87,65,300,300,,25.1,38.9,1,,1,,,,,1,,,1,1,1,,,,,
